indicador,pais,ano,valor
Economia - Gastos públicos com educação,Argentina,1990,1.07
Economia - Gastos públicos com educação,Argentina,2000,4.58
Economia - Gastos públicos com educação,Argentina,2001,4.83
Economia - Gastos públicos com educação,Argentina,2002,4.02
Economia - Gastos públicos com educação,Argentina,2003,3.54
Economia - Gastos públicos com educação,Argentina,2004,3.49
Economia - Gastos públicos com educação,Argentina,2005,3.86
Economia - Gastos públicos com educação,Argentina,2006,4.13
Economia - Gastos públicos com educação,Argentina,2007,4.46
Economia - Gastos públicos com educação,Argentina,2008,4.84
Economia - Gastos públicos com educação,Argentina,2009,5.53
Economia - Gastos públicos com educação,Argentina,2010,5.02
Economia - Gastos públicos com educação,Argentina,2011,5.29
Economia - Gastos públicos com educação,Argentina,2012,5.35
Economia - Gastos públicos com educação,Argentina,2013,5.44
Economia - Gastos públicos com educação,Argentina,2014,5.36
Economia - Gastos públicos com educação,Argentina,2015,5.78
Economia - Gastos públicos com educação,Argentina,2016,5.55
Economia - Gastos públicos com educação,Argentina,2017,5.45
Economia - Gastos públicos com educação,Argentina,2018,4.88
Economia - Gastos públicos com educação,Argentina,2019,4.72
Economia - Gastos públicos com educação,Argentina,2020,5.02
Economia - Gastos públicos com educação,Chile,1990,2.25
Economia - Gastos públicos com educação,Chile,1995,2.56
Economia - Gastos públicos com educação,Chile,2000,3.78
Economia - Gastos públicos com educação,Chile,2002,4.08
Economia - Gastos públicos com educação,Chile,2003,3.96
Economia - Gastos públicos com educação,Chile,2004,3.54
Economia - Gastos públicos com educação,Chile,2005,3.26
Economia - Gastos públicos com educação,Chile,2006,3.02
Economia - Gastos públicos com educação,Chile,2007,3.21
Economia - Gastos públicos com educação,Chile,2008,3.79
Economia - Gastos públicos com educação,Chile,2009,4.23
Economia - Gastos públicos com educação,Chile,2010,4.16
Economia - Gastos públicos com educação,Chile,2011,4.05
Economia - Gastos públicos com educação,Chile,2012,4.54
Economia - Gastos públicos com educação,Chile,2013,4.53
Economia - Gastos públicos com educação,Chile,2014,4.73
Economia - Gastos públicos com educação,Chile,2015,4.88
Economia - Gastos públicos com educação,Chile,2016,5.34
Economia - Gastos públicos com educação,Chile,2017,5.42
Economia - Gastos públicos com educação,Chile,2018,5.43
Economia - Gastos públicos com educação,Chile,2019,5.62
Economia - Gastos públicos com educação,México,1990,2.32
Economia - Gastos públicos com educação,México,1995,3.69
Economia - Gastos públicos com educação,México,2000,3.99
Economia - Gastos públicos com educação,México,2001,4.24
Economia - Gastos públicos com educação,México,2002,4.45
Economia - Gastos públicos com educação,México,2003,5.07
Economia - Gastos públicos com educação,México,2004,4.73
Economia - Gastos públicos com educação,México,2005,4.85
Economia - Gastos públicos com educação,México,2006,4.70
Economia - Gastos públicos com educação,México,2007,4.69
Economia - Gastos públicos com educação,México,2008,4.82
Economia - Gastos públicos com educação,México,2009,5.19
Economia - Gastos públicos com educação,México,2010,5.16
Economia - Gastos públicos com educação,México,2011,5.11
Economia - Gastos públicos com educação,México,2012,5.10
Economia - Gastos públicos com educação,México,2013,4.70
Economia - Gastos públicos com educação,México,2014,5.26
Economia - Gastos públicos com educação,México,2015,5.23
Economia - Gastos públicos com educação,México,2016,4.91
Economia - Gastos públicos com educação,México,2017,4.52
Economia - Gastos públicos com educação,México,2018,4.25
Economia - Gastos públicos com educação,Paraguai,1990,1.04
Economia - Gastos públicos com educação,Paraguai,2000,4.23
Economia - Gastos públicos com educação,Paraguai,2001,3.83
Economia - Gastos públicos com educação,Paraguai,2002,3.41
Economia - Gastos públicos com educação,Paraguai,2003,3.38
Economia - Gastos públicos com educação,Paraguai,2004,2.87
Economia - Gastos públicos com educação,Paraguai,2007,2.74
Economia - Gastos públicos com educação,Paraguai,2010,2.77
Economia - Gastos públicos com educação,Paraguai,2011,3.69
Economia - Gastos públicos com educação,Paraguai,2012,3.67
Economia - Gastos públicos com educação,Paraguai,2013,4.81
Economia - Gastos públicos com educação,Paraguai,2014,4.79
