indicador,pais,ano,valor
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2000,0.44
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2001,0.42
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2002,0.39
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2003,0.41
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2004,0.40
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2005,0.42
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2006,0.45
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2007,0.46
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2008,0.47
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2009,0.58
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2010,0.56
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2011,0.57
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2012,0.63
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2013,0.62
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2014,0.59
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2015,0.62
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2016,0.56
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2017,0.56
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2018,0.49
Economia - Investimentos em pesquisa e desenvolvimento,Argentina,2019,0.46
Economia - Investimentos em pesquisa e desenvolvimento,Bolívia,2000,0.29
Economia - Investimentos em pesquisa e desenvolvimento,Bolívia,2001,0.29
Economia - Investimentos em pesquisa e desenvolvimento,Bolívia,2002,0.28
Economia - Investimentos em pesquisa e desenvolvimento,Bolívia,2009,0.16
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2000,0.13
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2001,0.13
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2002,0.16
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2003,0.17
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2004,0.17
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2005,0.17
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2006,0.16
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2007,0.18
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2008,0.20
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2009,0.19
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2010,0.19
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2011,0.20
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2012,0.22
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2013,0.26
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2014,0.30
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2015,0.37
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2016,0.27
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2017,0.26
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2018,0.31
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2019,0.32
Economia - Investimentos em pesquisa e desenvolvimento,Colômbia,2020,0.29
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2000,0.41
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2003,0.36
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2004,0.37
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2006,0.43
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2007,0.36
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2008,0.39
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2009,0.52
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2010,0.48
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2011,0.46
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2012,0.55
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2013,0.54
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2014,0.56
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2015,0.44
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2016,0.44
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2017,0.43
Economia - Investimentos em pesquisa e desenvolvimento,Costa Rica,2018,0.37
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2000,0.48
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2001,0.57
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2002,0.56
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2003,0.58
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2004,0.60
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2005,0.55
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2006,0.44
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2007,0.44
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2008,0.50
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2009,0.61
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2010,0.61
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2011,0.27
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2012,0.41
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2013,0.47
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2014,0.42
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2015,0.43
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2016,0.34
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2017,0.43
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2018,0.54
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2019,0.55
Economia - Investimentos em pesquisa e desenvolvimento,Cuba,2020,0.52
Economia - Investimentos em pesquisa e desenvolvimento,Honduras,2000,0.04
Economia - Investimentos em pesquisa e desenvolvimento,Honduras,2001,0.04
Economia - Investimentos em pesquisa e desenvolvimento,Honduras,2002,0.04
Economia - Investimentos em pesquisa e desenvolvimento,Honduras,2003,0.04
Economia - Investimentos em pesquisa e desenvolvimento,Honduras,2004,0.04
Economia - Investimentos em pesquisa e desenvolvimento,Honduras,2015,0.01
Economia - Investimentos em pesquisa e desenvolvimento,Honduras,2017,0.04
Economia - Investimentos em pesquisa e desenvolvimento,México,2000,0.31
Economia - Investimentos em pesquisa e desenvolvimento,México,2001,0.32
Economia - Investimentos em pesquisa e desenvolvimento,México,2002,0.35
Economia - Investimentos em pesquisa e desenvolvimento,México,2003,0.39
Economia - Investimentos em pesquisa e desenvolvimento,México,2004,0.39
Economia - Investimentos em pesquisa e desenvolvimento,México,2005,0.40
Economia - Investimentos em pesquisa e desenvolvimento,México,2006,0.37
Economia - Investimentos em pesquisa e desenvolvimento,México,2007,0.40
Economia - Investimentos em pesquisa e desenvolvimento,México,2008,0.44
Economia - Investimentos em pesquisa e desenvolvimento,México,2009,0.48
Economia - Investimentos em pesquisa e desenvolvimento,México,2010,0.49
Economia - Investimentos em pesquisa e desenvolvimento,México,2011,0.47
Economia - Investimentos em pesquisa e desenvolvimento,México,2012,0.42
Economia - Investimentos em pesquisa e desenvolvimento,México,2013,0.43
Economia - Investimentos em pesquisa e desenvolvimento,México,2014,0.44
Economia - Investimentos em pesquisa e desenvolvimento,México,2015,0.43
Economia - Investimentos em pesquisa e desenvolvimento,México,2016,0.39
