indicador,pais,ano,valor
Economia - Gastos públicos com saúde,Argentina,2000,4.50
Economia - Gastos públicos com saúde,Argentina,2001,4.59
Economia - Gastos públicos com saúde,Argentina,2002,4.03
Economia - Gastos públicos com saúde,Argentina,2003,3.77
Economia - Gastos públicos com saúde,Argentina,2004,3.74
Economia - Gastos públicos com saúde,Argentina,2005,3.91
Economia - Gastos públicos com saúde,Argentina,2006,4.02
Economia - Gastos públicos com saúde,Argentina,2007,4.25
Economia - Gastos públicos com saúde,Argentina,2008,4.51
Economia - Gastos públicos com saúde,Argentina,2009,5.67
Economia - Gastos públicos com saúde,Argentina,2010,5.57
Economia - Gastos públicos com saúde,Argentina,2011,5.68
Economia - Gastos públicos com saúde,Argentina,2012,6.13
Economia - Gastos públicos com saúde,Argentina,2013,6.22
Economia - Gastos públicos com saúde,Argentina,2014,6.33
Economia - Gastos públicos com saúde,Argentina,2015,6.82
Economia - Gastos públicos com saúde,Argentina,2016,5.59
Economia - Gastos públicos com saúde,Argentina,2017,6.60
Economia - Gastos públicos com saúde,Argentina,2018,5.96
Economia - Gastos públicos com saúde,Argentina,2019,6.06
Economia - Gastos públicos com saúde,Argentina,2020,6.62
Economia - Gastos públicos com saúde,Bolívia,2000,2.43
Economia - Gastos públicos com saúde,Bolívia,2001,2.61
Economia - Gastos públicos com saúde,Bolívia,2002,2.60
Economia - Gastos públicos com saúde,Bolívia,2003,2.75
Economia - Gastos públicos com saúde,Bolívia,2004,2.54
Economia - Gastos públicos com saúde,Bolívia,2005,2.75
Economia - Gastos públicos com saúde,Bolívia,2006,2.61
Economia - Gastos públicos com saúde,Bolívia,2007,2.78
Economia - Gastos públicos com saúde,Bolívia,2008,2.70
Economia - Gastos públicos com saúde,Bolívia,2009,3.16
Economia - Gastos públicos com saúde,Bolívia,2010,3.06
Economia - Gastos públicos com saúde,Bolívia,2011,3.02
Economia - Gastos públicos com saúde,Bolívia,2012,3.00
Economia - Gastos públicos com saúde,Bolívia,2013,3.26
Economia - Gastos públicos com saúde,Bolívia,2014,3.69
Economia - Gastos públicos com saúde,Bolívia,2015,4.31
Economia - Gastos públicos com saúde,Bolívia,2016,4.43
Economia - Gastos públicos com saúde,Bolívia,2017,4.45
Economia - Gastos públicos com saúde,Bolívia,2018,4.80
Economia - Gastos públicos com saúde,Bolívia,2019,4.90
Economia - Gastos públicos com saúde,Bolívia,2020,5.65
Economia - Gastos públicos com saúde,Chile,2000,2.52
Economia - Gastos públicos com saúde,Chile,2001,2.60
Economia - Gastos públicos com saúde,Chile,2002,2.73
Economia - Gastos públicos com saúde,Chile,2003,2.80
Economia - Gastos públicos com saúde,Chile,2004,2.72
Economia - Gastos públicos com saúde,Chile,2005,2.59
Economia - Gastos públicos com saúde,Chile,2006,2.50
Economia - Gastos públicos com saúde,Chile,2007,2.61
Economia - Gastos públicos com saúde,Chile,2008,2.93
Economia - Gastos públicos com saúde,Chile,2009,3.38
Economia - Gastos públicos com saúde,Chile,2010,3.19
Economia - Gastos públicos com saúde,Chile,2011,3.19
Economia - Gastos públicos com saúde,Chile,2012,3.37
Economia - Gastos públicos com saúde,Chile,2013,3.55
Economia - Gastos públicos com saúde,Chile,2014,3.73
Economia - Gastos públicos com saúde,Chile,2015,3.99
Economia - Gastos públicos com saúde,Chile,2016,4.23
Economia - Gastos públicos com saúde,Chile,2017,4.57
Economia - Gastos públicos com saúde,Chile,2018,4.65
Economia - Gastos públicos com saúde,Chile,2019,4.75
Economia - Gastos públicos com saúde,Chile,2020,5.50
Economia - Gastos públicos com saúde,Chile,2021,5.17
Economia - Gastos públicos com saúde,Colômbia,2000,4.20
Economia - Gastos públicos com saúde,Colômbia,2001,4.46
Economia - Gastos públicos com saúde,Colômbia,2002,4.37
Economia - Gastos públicos com saúde,Colômbia,2003,4.47
Economia - Gastos públicos com saúde,Colômbia,2004,4.26
Economia - Gastos públicos com saúde,Colômbia,2005,4.36
Economia - Gastos públicos com saúde,Colômbia,2006,4.57
Economia - Gastos públicos com saúde,Colômbia,2007,4.59
Economia - Gastos públicos com saúde,Colômbia,2008,4.75
Economia - Gastos públicos com saúde,Colômbia,2009,5.27
Economia - Gastos públicos com saúde,Colômbia,2010,5.11
Economia - Gastos públicos com saúde,Colômbia,2011,4.98
Economia - Gastos públicos com saúde,Colômbia,2012,4.71
Economia - Gastos públicos com saúde,Colômbia,2013,4.90
Economia - Gastos públicos com saúde,Colômbia,2014,5.06
Economia - Gastos públicos com saúde,Colômbia,2015,5.33
Economia - Gastos públicos com saúde,Colômbia,2016,5.30
Economia - Gastos públicos com saúde,Colômbia,2017,5.45
Economia - Gastos públicos com saúde,Colômbia,2018,5.46
Economia - Gastos públicos com saúde,Colômbia,2019,5.77
Economia - Gastos públicos com saúde,Colômbia,2020,6.53
Economia - Gastos públicos com saúde,Costa Rica,2000,4.26
Economia - Gastos públicos com saúde,Costa Rica,2001,4.24
Economia - Gastos públicos com saúde,Costa Rica,2002,4.59
Economia - Gastos públicos com saúde,Costa Rica,2003,4.63
Economia - Gastos públicos com saúde,Costa Rica,2004,4.38
Economia - Gastos públicos com saúde,Costa Rica,2005,4.26
Economia - Gastos públicos com saúde,Costa Rica,2006,4.58
Economia - Gastos públicos com saúde,Costa Rica,2007,4.63
Economia - Gastos públicos com saúde,Costa Rica,2008,5.07
Economia - Gastos públicos com saúde,Costa Rica,2009,5.58
Economia - Gastos públicos com saúde,Costa Rica,2010,5.81
Economia - Gastos públicos com saúde,Costa Rica,2011,5.70
Economia - Gastos públicos com saúde,Costa Rica,2012,5.50
Economia - Gastos públicos com saúde,Costa Rica,2013,5.45
Economia - Gastos públicos com saúde,Costa Rica,2014,5.44
Economia - Gastos públicos com saúde,Costa Rica,2015,5.52
Economia - Gastos públicos com saúde,Costa Rica,2016,5.37
Economia - Gastos públicos com saúde,Costa Rica,2017,5.18
Economia - Gastos públicos com saúde,Costa Rica,2018,5.27
Economia - Gastos públicos com saúde,Costa Rica,2019,5.24
Economia - Gastos públicos com saúde,Costa Rica,2020,5.64
Economia - Gastos públicos com saúde,Cuba,2000,5.51
Economia - Gastos públicos com saúde,Cuba,2001,5.67
Economia - Gastos públicos com saúde,Cuba,2002,5.73
Economia - Gastos públicos com saúde,Cuba,2003,5.65
Economia - Gastos públicos com saúde,Cuba,2004,5.47
Economia - Gastos públicos com saúde,Cuba,2005,7.43
Economia - Gastos públicos com saúde,Cuba,2006,7.08
Economia - Gastos públicos com saúde,Cuba,2007,9.88
Economia - Gastos públicos com saúde,Cuba,2008,10.29
Economia - Gastos públicos com saúde,Cuba,2009,11.28
Economia - Gastos públicos com saúde,Cuba,2010,9.70
Economia - Gastos públicos com saúde,Cuba,2011,10.07
Economia - Gastos públicos com saúde,Cuba,2012,8.06
Economia - Gastos públicos com saúde,Cuba,2013,9.14
Economia - Gastos públicos com saúde,Cuba,2014,10.96
Economia - Gastos públicos com saúde,Cuba,2015,11.57
Economia - Gastos públicos com saúde,Cuba,2016,10.95
Economia - Gastos públicos com saúde,Cuba,2017,10.24
Economia - Gastos públicos com saúde,Cuba,2018,9.78
Economia - Gastos públicos com saúde,Cuba,2019,9.87
Economia - Gastos públicos com saúde,Cuba,2020,11.37
Economia - Gastos públicos com saúde,República Dominicana,2000,1.71
Economia - Gastos públicos com saúde,República Dominicana,2001,1.70
Economia - Gastos públicos com saúde,República Dominicana,2002,1.68
Economia - Gastos públicos com saúde,República Dominicana,2003,1.16
Economia - Gastos públicos com saúde,República Dominicana,2004,1.15
Economia - Gastos públicos com saúde,República Dominicana,2005,1.39
