indicador,pais,ano,valor
Economia - Total de exportações,Argentina,1990,12354000000
Economia - Total de exportações,Argentina,1995,21141832000
Economia - Total de exportações,Argentina,2000,26337200000
Economia - Total de exportações,Argentina,2001,26528000000
Economia - Total de exportações,Argentina,2002,25634300000
Economia - Total de exportações,Argentina,2003,29950400000
Economia - Total de exportações,Argentina,2004,34588800000
Economia - Total de exportações,Argentina,2005,40434150000
Economia - Total de exportações,Argentina,2006,46617500000
Economia - Total de exportações,Argentina,2007,56076562000
Economia - Total de exportações,Argentina,2008,70159472000
Economia - Total de exportações,Argentina,2009,55790984000
Economia - Total de exportações,Argentina,2010,68305873000
Economia - Total de exportações,Argentina,2011,83119709000
Economia - Total de exportações,Argentina,2012,80083655000
Economia - Total de exportações,Argentina,2013,75928228361.07
Economia - Total de exportações,Argentina,2014,68440435907
Economia - Total de exportações,Argentina,2015,56809053493
Economia - Total de exportações,Argentina,2016,57959933690.53
Economia - Total de exportações,Argentina,2017,58661873551.78
Economia - Total de exportações,Argentina,2018,61801002638.29
Economia - Total de exportações,Argentina,2019,65162061724.81
Economia - Total de exportações,Argentina,2020,54945618595.93
Economia - Total de exportações,Argentina,2021,77986713146.45
Economia - Total de exportações,Argentina,2022,88515098151.42
Economia - Total de exportações,Bolívia,1990,830800000
Economia - Total de exportações,Bolívia,1995,1041400000
Economia - Total de exportações,Bolívia,2000,1139092096.03
Economia - Total de exportações,Bolívia,2001,1188657425.89
Economia - Total de exportações,Bolívia,2002,1184341415.91
Economia - Total de exportações,Bolívia,2003,1492659721.65
Economia - Total de exportações,Bolívia,2004,2044256550.87
Economia - Total de exportações,Bolívia,2005,2622226566.01
Economia - Total de exportações,Bolívia,2006,3661955400.56
Economia - Total de exportações,Bolívia,2007,4262826733.64
Economia - Total de exportações,Bolívia,2008,6271446254.13
Economia - Total de exportações,Bolívia,2009,4709830000
Economia - Total de exportações,Bolívia,2010,6129300487.30
Economia - Total de exportações,Bolívia,2011,8174835184.80
Economia - Total de exportações,Bolívia,2012,11132827855.42
Economia - Total de exportações,Bolívia,2013,11538700931.33
Economia - Total de exportações,Bolívia,2014,12809705325.34
Economia - Total de exportações,Bolívia,2015,8684018275.65
Economia - Total de exportações,Bolívia,2016,7029946630.03
Economia - Total de exportações,Bolívia,2017,8133837886.98
Economia - Total de exportações,Bolívia,2018,8940200488.78
Economia - Total de exportações,Bolívia,2019,8827819915.74
Economia - Total de exportações,Bolívia,2020,7013096617.02
Economia - Total de exportações,Bolívia,2021,10966024556.16
Economia - Total de exportações,Bolívia,2022,13527784532.79
Economia - Total de exportações,Brasil,1990,31408000000
Economia - Total de exportações,Brasil,1995,46506000000
Economia - Total de exportações,Brasil,2000,55187572648
Economia - Total de exportações,Brasil,2001,58105671219
Economia - Total de exportações,Brasil,2002,60278560129
Economia - Total de exportações,Brasil,2003,72883461454
Economia - Total de exportações,Brasil,2004,96097603410
Economia - Total de exportações,Brasil,2005,118413811544
Economia - Total de exportações,Brasil,2006,137708800759
Economia - Total de exportações,Brasil,2007,160540246755
Economia - Total de exportações,Brasil,2008,198214040085
Economia - Total de exportações,Brasil,2009,153525261683
Economia - Total de exportações,Brasil,2010,201197085781.18
Economia - Total de exportações,Brasil,2011,255402574913.63
Economia - Total de exportações,Brasil,2012,241982433455.16
Economia - Total de exportações,Brasil,2013,241511056475.31
Economia - Total de exportações,Brasil,2014,223971304319.50
Economia - Total de exportações,Brasil,2015,189913957044.06
Economia - Total de exportações,Brasil,2016,184266804706.4
Economia - Total de exportações,Brasil,2017,218000493584.13
Economia - Total de exportações,Brasil,2018,239519568687.20
Economia - Total de exportações,Brasil,2019,225799578379.54
