indicador,pais,ano,valor
Economia - Total de importações,Argentina,1990,3726000000
Economia - Total de importações,Argentina,1995,18804317000
Economia - Total de importações,Argentina,2000,23889100000
Economia - Total de importações,Argentina,2001,19157800000
Economia - Total de importações,Argentina,2002,8473100000
Economia - Total de importações,Argentina,2003,13134200000
Economia - Total de importações,Argentina,2004,21311100000
Economia - Total de importações,Argentina,2005,27300100000
Economia - Total de importações,Argentina,2006,32587900000
Economia - Total de importações,Argentina,2007,42524500000
Economia - Total de importações,Argentina,2008,54596200000
Economia - Total de importações,Argentina,2009,37146134000
Economia - Total de importações,Argentina,2010,54158763701.51
Economia - Total de importações,Argentina,2011,70768777913.21
Economia - Total de importações,Argentina,2012,65042742213.46
Economia - Total de importações,Argentina,2013,71292993120.16
Economia - Total de importações,Argentina,2014,62898966094.1
Economia - Total de importações,Argentina,2015,57594229885.62
Economia - Total de importações,Argentina,2016,53543776748.93
Economia - Total de importações,Argentina,2017,64108936659.32
Economia - Total de importações,Argentina,2018,62544230316.48
Economia - Total de importações,Argentina,2019,46928338266.51
Economia - Total de importações,Argentina,2020,40314811521.69
Economia - Total de importações,Argentina,2021,59291110550.42
Economia - Total de importações,Argentina,2022,76162545002.65
Economia - Total de importações,Bolívia,1990,775600000
Economia - Total de importações,Bolívia,1995,1223700000
Economia - Total de importações,Bolívia,2000,1610160000
Economia - Total de importações,Bolívia,2001,1580000000
Economia - Total de importações,Bolívia,2002,1638700000
Economia - Total de importações,Bolívia,2003,1497372825
Economia - Total de importações,Bolívia,2004,1724732878.03
Economia - Total de importações,Bolívia,2005,2182590109.28
Economia - Total de importações,Bolívia,2006,2632100969.94
Economia - Total de importações,Bolívia,2007,3243473509.09
Economia - Total de importações,Bolívia,2008,4764087001
Economia - Total de importações,Bolívia,2009,4143570000
Economia - Total de importações,Bolívia,2010,5006774120.36
Economia - Total de importações,Bolívia,2011,7126366595.22
Economia - Total de importações,Bolívia,2012,7997488634.57
Economia - Total de importações,Bolívia,2013,8729181721.16
Economia - Total de importações,Bolívia,2014,9893765587.49
Economia - Total de importações,Bolívia,2015,9071898887.29
Economia - Total de importações,Bolívia,2016,7930773107.41
Economia - Total de importações,Bolívia,2017,8680869448.02
Economia - Total de importações,Bolívia,2018,9301944791.54
Economia - Total de importações,Bolívia,2019,9085852594.25
Economia - Total de importações,Bolívia,2020,6333861464.07
Economia - Total de importações,Bolívia,2021,8740127638.81
Economia - Total de importações,Bolívia,2022,11858596304.81
Economia - Total de importações,Brasil,1990,20661000000
Economia - Total de importações,Brasil,1995,49663000000
Economia - Total de importações,Brasil,2000,56976350170
Economia - Total de importações,Brasil,2001,56569020182
Economia - Total de importações,Brasil,2002,48274763553
Economia - Total de importações,Brasil,2003,49307163152
Economia - Total de importações,Brasil,2004,63813636668
Economia - Total de importações,Brasil,2005,74692215554
Economia - Total de importações,Brasil,2006,92531096870
Economia - Total de importações,Brasil,2007,122041949120
Economia - Total de importações,Brasil,2008,174707087626
Economia - Total de importações,Brasil,2009,128734946323
Economia - Total de importações,Brasil,2010,182839148395.13
Economia - Total de importações,Brasil,2011,227877500710.49
Economia - Total de importações,Brasil,2012,225074043960.08
Economia - Total de importações,Brasil,2013,241142079248.22
Economia - Total de importações,Brasil,2014,230710248095.42
Economia - Total de importações,Brasil,2015,172469005395.53
Economia - Total de importações,Brasil,2016,139723198458.24
Economia - Total de importações,Brasil,2017,160675458906
Economia - Total de importações,Brasil,2018,196146816358.4
Economia - Total de importações,Brasil,2019,199252849047.2
Economia - Total de importações,Brasil,2020,178337415113.19
Economia - Total de importações,Brasil,2021,247648424912.28
Economia - Total de importações,Brasil,2022,296174697625.33
Economia - Total de importações,Chile,1990,7089200000
Economia - Total de importações,Chile,1995,14644000000
Economia - Total de importações,Chile,2000,17028810000
Economia - Total de importações,Chile,2001,16356140000
Economia - Total de importações,Chile,2002,15742541721.82
Economia - Total de importações,Chile,2003,17867896161.66
Economia - Total de importações,Chile,2004,22864174916.29
Economia - Total de importações,Chile,2005,30673572807.17
Economia - Total de importações,Chile,2006,36482993128.65
Economia - Total de importações,Chile,2007,44478261592.93
Economia - Total de importações,Chile,2008,58455449303.69
Economia - Total de importações,Chile,2009,40141858478.13
Economia - Total de importações,Chile,2010,55216025751.55
Economia - Total de importações,Chile,2011,70665531275.57
Economia - Total de importações,Chile,2012,75374270472.13
Economia - Total de importações,Chile,2013,74670217339.89
Economia - Total de importações,Chile,2014,68593775670.26
Economia - Total de importações,Chile,2015,58544405842.48
Economia - Total de importações,Chile,2016,55818817538.04
Economia - Total de importações,Chile,2017,61413799389.24
Economia - Total de importações,Chile,2018,70429568219.00
Economia - Total de importações,Chile,2019,65776232155.26
Economia - Total de importações,Chile,2020,55107524956.21
Economia - Total de importações,Chile,2021,84304313989.24
Economia - Total de importações,Chile,2022,94741204198.79
Economia - Total de importações,Colômbia,1990,5108000000
Economia - Total de importações,Colômbia,1995,13128212189
Economia - Total de importações,Colômbia,2000,11042499112.54
Economia - Total de importações,Colômbia,2001,12229687350.42
Economia - Total de importações,Colômbia,2002,12024451426.40
Economia - Total de importações,Colômbia,2003,13195427391.71
Economia - Total de importações,Colômbia,2004,15838465835.07
Economia - Total de importações,Colômbia,2005,20094366338.42
Economia - Total de importações,Colômbia,2006,24810016105.23
Economia - Total de importações,Colômbia,2007,31116286687.54
Economia - Total de importações,Colômbia,2008,37511441261.38
Economia - Total de importações,Colômbia,2009,31428087783.29
Economia - Total de importações,Colômbia,2010,38405832816.06
Economia - Total de importações,Colômbia,2011,52125545572.01
Economia - Total de importações,Colômbia,2012,56648290243.82
Economia - Total de importações,Colômbia,2013,57103075809.49
Economia - Total de importações,Colômbia,2014,61539344537.87
Economia - Total de importações,Colômbia,2015,52050752072.58
Economia - Total de importações,Colômbia,2016,43238949427.69
Economia - Total de importações,Colômbia,2017,44070175426.52
Economia - Total de importações,Colômbia,2018,49387004271.98
Economia - Total de importações,Colômbia,2019,50518369960.97
Economia - Total de importações,Colômbia,2020,41178755257.09
Economia - Total de importações,Colômbia,2021,56719215736.27
Economia - Total de importações,Colômbia,2022,71581646049.24
Economia - Total de importações,Costa Rica,1990,1796700000
Economia - Total de importações,Costa Rica,1995,3046100000
Economia - Total de importações,Costa Rica,2000,5180937180.67
Economia - Total de importações,Costa Rica,2001,5240709290.86
Economia - Total de importações,Costa Rica,2002,5618948178.82
Economia - Total de importações,Costa Rica,2003,6055850846.97
Economia - Total de importações,Costa Rica,2004,6542506145.62
Economia - Total de importações,Costa Rica,2005,7615032589.96
Economia - Total de importações,Costa Rica,2006,8843306159.12
Economia - Total de importações,Costa Rica,2007,10329450733.25
Economia - Total de importações,Costa Rica,2008,12658936707.63
Economia - Total de importações,Costa Rica,2009,9204799909.52
Economia - Total de importações,Costa Rica,2010,11040420104.45
Economia - Total de importações,Costa Rica,2011,13328708868.28
Economia - Total de importações,Costa Rica,2012,14270608615.98
Economia - Total de importações,Costa Rica,2013,14425143236.74
Economia - Total de importações,Costa Rica,2014,14784329140.61
Economia - Total de importações,Costa Rica,2015,14059490160.23
Economia - Total de importações,Costa Rica,2016,14526327121.88
Economia - Total de importações,Costa Rica,2017,15177744069.60
Economia - Total de importações,Costa Rica,2018,16350138994.80
Economia - Total de importações,Costa Rica,2019,15699976059.54
Economia - Total de importações,Costa Rica,2020,14085001056.97
Economia - Total de importações,Costa Rica,2021,17670962046.17
Economia - Total de importações,Costa Rica,2022,20105248774.29
Economia - Total de importações,República Dominicana,1990,1792800000
Economia - Total de importações,República Dominicana,1995,3164200000
Economia - Total de importações,República Dominicana,2000,6416000000
Economia - Total de importações,República Dominicana,2001,5952900000
Economia - Total de importações,República Dominicana,2002,6237300000
Economia - Total de importações,República Dominicana,2003,5095900000
Economia - Total de importações,República Dominicana,2004,5368100000
Economia - Total de importações,República Dominicana,2005,7366300000
Economia - Total de importações,República Dominicana,2006,9558800000
Economia - Total de importações,República Dominicana,2007,11097300000
Economia - Total de importações,República Dominicana,2008,13564000000
Economia - Total de importações,República Dominicana,2009,9946100000
Economia - Total de importações,República Dominicana,2010,15209900000
Economia - Total de importações,República Dominicana,2011,17301600000
Economia - Total de importações,República Dominicana,2012,17673300000
Economia - Total de importações,República Dominicana,2013,16801200000
Economia - Total de importações,República Dominicana,2014,17273100000
Economia - Total de importações,República Dominicana,2015,16906500000
Economia - Total de importações,República Dominicana,2016,17398600000
Economia - Total de importações,República Dominicana,2017,17734300000
Economia - Total de importações,República Dominicana,2018,20197300000
Economia - Total de importações,República Dominicana,2019,20267800000
Economia - Total de importações,República Dominicana,2020,17105000000
Economia - Total de importações,República Dominicana,2021,24282000000
Economia - Total de importações,República Dominicana,2022,30742900000
Economia - Total de importações,Equador,1990,1715000000
Economia - Total de importações,Equador,1995,4522570000
Economia - Total de importações,Equador,2000,3653382344.86
Economia - Total de importações,Equador,2001,5170046789.92
Economia - Total de importações,Equador,2002,6153683276.51
Economia - Total de importações,Equador,2003,6361006680
Economia - Total de importações,Equador,2004,7673390755.06
Economia - Total de importações,Equador,2005,9703350171.68
Economia - Total de importações,Equador,2006,11401685521.89
Economia - Total de importações,Equador,2007,13041130432
Economia - Total de importações,Equador,2008,17906102793.43
Economia - Total de importações,Equador,2009,14262445546.96
Economia - Total de importações,Equador,2010,19635073726.08
Economia - Total de importações,Equador,2011,23378937192.84
Economia - Total de importações,Equador,2012,24512948909.05
Economia - Total de importações,Equador,2013,26109329086.90
Economia - Total de importações,Equador,2014,26653974325.75
Economia - Total de importações,Equador,2015,20692541798.56
Economia - Total de importações,Equador,2016,15860563728.43
Economia - Total de importações,Equador,2017,19295191089.77
Economia - Total de importações,Equador,2018,22360438411.12
Economia - Total de importações,Equador,2019,21746620048.38
Economia - Total de importações,Equador,2020,17091854228.20
Economia - Total de importações,Equador,2021,23974961798.11
Economia - Total de importações,Equador,2022,30489087833.11
Economia - Total de importações,El Salvador,1990,1309501095.16
Economia - Total de importações,El Salvador,1995,2640673932.70
Economia - Total de importações,El Salvador,2000,3514500000
Economia - Total de importações,El Salvador,2001,3623900000
Economia - Total de importações,El Salvador,2002,3577850000
Economia - Total de importações,El Salvador,2003,4024200000
Economia - Total de importações,El Salvador,2004,4510022817.56
Economia - Total de importações,El Salvador,2005,5393500000
Economia - Total de importações,El Salvador,2006,6338830000
Economia - Total de importações,El Salvador,2007,7534000000
Economia - Total de importações,El Salvador,2008,8388810000
Economia - Total de importações,El Salvador,2009,6429961015.99
Economia - Total de importações,El Salvador,2010,7495374374.08
Economia - Total de importações,El Salvador,2011,9014775908.90
Economia - Total de importações,El Salvador,2012,9159041661.36
Economia - Total de importações,El Salvador,2013,9684183023.97
Economia - Total de importações,El Salvador,2014,9581001123.73
Economia - Total de importações,El Salvador,2015,9407327324.61
Economia - Total de importações,El Salvador,2016,8975940027.20
Economia - Total de importações,El Salvador,2017,9512336401.30
Economia - Total de importações,El Salvador,2018,10375850687.83
Economia - Total de importações,El Salvador,2019,10456505187.14
Economia - Total de importações,El Salvador,2020,8945053141.25
Economia - Total de importações,El Salvador,2021,13159941203.89
Economia - Total de importações,El Salvador,2022,15292207033.10
Economia - Total de importações,Guatemala,1990,1428000000
Economia - Total de importações,Guatemala,1995,3032600000
Economia - Total de importações,Guatemala,2000,4742000000
Economia - Total de importações,Guatemala,2001,5142005048
Economia - Total de importações,Guatemala,2002,5791006299
Economia - Total de importações,Guatemala,2003,6175727984
Economia - Total de importações,Guatemala,2004,8737000000
Economia - Total de importações,Guatemala,2005,9650100000
Economia - Total de importações,Guatemala,2006,10934400000
Economia - Total de importações,Guatemala,2007,12470200000
Economia - Total de importações,Guatemala,2008,12529109120
Economia - Total de importações,Guatemala,2009,10046702870
Economia - Total de importações,Guatemala,2010,11878178960
Economia - Total de importações,Guatemala,2011,14308649910
Economia - Total de importações,Guatemala,2012,15007840310
Economia - Total de importações,Guatemala,2013,15412134810
Economia - Total de importações,Guatemala,2014,16157399240
Economia - Total de importações,Guatemala,2015,15524036340
Economia - Total de importações,Guatemala,2016,15049605910
Economia - Total de importações,Guatemala,2017,16442003190
Economia - Total de importações,Guatemala,2018,17628849920
Economia - Total de importações,Guatemala,2019,17885429550
Economia - Total de importações,Guatemala,2020,16440813870
Economia - Total de importações,Guatemala,2021,23300243470
Economia - Total de importações,Honduras,1990,907000000
Economia - Total de importações,Honduras,1995,1518600000
Economia - Total de importações,Honduras,2000,2679944500
Economia - Total de importações,Honduras,2001,2761168311.98
Economia - Total de importações,Honduras,2002,2772862811.38
Economia - Total de importações,Honduras,2003,3179124763.72
Economia - Total de importações,Honduras,2004,3885702481.04
Economia - Total de importações,Honduras,2005,4468269511.34
Economia - Total de importações,Honduras,2006,5218890295.97
Economia - Total de importações,Honduras,2007,6707189163.21
Economia - Total de importações,Honduras,2008,8208651807.62
Economia - Total de importações,Honduras,2009,5845153889.30
Economia - Total de importações,Honduras,2010,6605737887.33
Economia - Total de importações,Honduras,2011,8355941672.75
Economia - Total de importações,Honduras,2012,8620119101.20
Economia - Total de importações,Honduras,2013,8384481062.47
Economia - Total de importações,Honduras,2014,8514572989.63
Economia - Total de importações,Honduras,2015,8659659365.79
Economia - Total de importações,Honduras,2016,8166376151.52
Economia - Total de importações,Honduras,2017,8786637434.68
Economia - Total de importações,Honduras,2018,9741564354.32
Economia - Total de importações,Honduras,2019,9405698554.22
Economia - Total de importações,Honduras,2020,8123184613.35
Economia - Total de importações,Honduras,2021,11935087878.05
Economia - Total de importações,Honduras,2022,13544777784.39
Economia - Total de importações,México,1990,31271000000
Economia - Total de importações,México,1995,46274200000
Economia - Total de importações,México,2000,174761226010
Economia - Total de importações,México,2001,168661014000
Economia - Total de importações,México,2002,168912830349
Economia - Total de importações,México,2003,170777886002
Economia - Total de importações,México,2004,197137414753
Economia - Total de importações,México,2005,222295367588
Economia - Total de importações,México,2006,256631277000
Economia - Total de importações,México,2007,282604374128
Economia - Total de importações,México,2008,309501288484
Economia - Total de importações,México,2009,234900589592
Economia - Total de importações,México,2010,301802682721
Economia - Total de importações,México,2011,351209140133
Economia - Total de importações,México,2012,371150584184
Economia - Total de importações,México,2013,381638213924
Economia - Total de importações,México,2014,400446681937
Economia - Total de importações,México,2015,395594899336
Economia - Total de importações,México,2016,387392025651
Economia - Total de importações,México,2017,420790004013
Economia - Total de importações,México,2018,464849865242
Economia - Total de importações,México,2019,455772065253
Economia - Total de importações,México,2020,383172226938
Economia - Total de importações,México,2021,506004611375
Economia - Total de importações,México,2022,605301716197
Economia - Total de importações,Nicarágua,1990,569700000
Economia - Total de importações,Nicarágua,1995,881400000
Economia - Total de importações,Nicarágua,2000,1653200000
Economia - Total de importações,Nicarágua,2001,1617300000
Economia - Total de importações,Nicarágua,2002,1617500000
Economia - Total de importações,Nicarágua,2003,1726100000
Economia - Total de importações,Nicarágua,2004,2027700000
Economia - Total de importações,Nicarágua,2005,2404600000
Economia - Total de importações,Nicarágua,2006,3200600000
Economia - Total de importações,Nicarágua,2007,3778100000
Economia - Total de importações,Nicarágua,2008,4518300000
Economia - Total de importações,Nicarágua,2009,3697300000
Economia - Total de importações,Nicarágua,2010,4512900000
Economia - Total de importações,Nicarágua,2011,5669600000
Economia - Total de importações,Nicarágua,2012,6209800000
Economia - Total de importações,Nicarágua,2013,6113900000
Economia - Total de importações,Nicarágua,2014,6318700000
Economia - Total de importações,Nicarágua,2015,6387600000
Economia - Total de importações,Nicarágua,2016,6291600000
Economia - Total de importações,Nicarágua,2017,6549100000
Economia - Total de importações,Nicarágua,2018,5801500000
Economia - Total de importações,Nicarágua,2019,5396900000
Economia - Total de importações,Nicarágua,2020,5338500000
Economia - Total de importações,Nicarágua,2021,7474700000
Economia - Total de importações,Nicarágua,2022,9100500000
Economia - Total de importações,Panamá,1990,3503100000
Economia - Total de importações,Panamá,1995,6678200000
Economia - Total de importações,Panamá,2000,6969700000
Economia - Total de importações,Panamá,2001,6678500000
Economia - Total de importações,Panamá,2002,6342000000
Economia - Total de importações,Panamá,2003,6272600000
Economia - Total de importações,Panamá,2004,7615700000
Economia - Total de importações,Panamá,2005,8932100000
Economia - Total de importações,Panamá,2006,10189300000
Economia - Total de importações,Panamá,2007,13488000000
Economia - Total de importações,Panamá,2008,18043900000
Economia - Total de importações,Panamá,2009,15357200000
Economia - Total de importações,Panamá,2010,18709500000
Economia - Total de importações,Panamá,2011,25661500000
Economia - Total de importações,Panamá,2012,27761700000
Economia - Total de importações,Panamá,2013,26493400000
Economia - Total de importações,Panamá,2014,25783100000
Economia - Total de importações,Panamá,2015,22541800000
Economia - Total de importações,Panamá,2016,20693756500
Economia - Total de importações,Panamá,2017,22286266066
Economia - Total de importações,Panamá,2018,23959388839.15
Economia - Total de importações,Panamá,2019,22177643108.3
Economia - Total de importações,Panamá,2020,14402220735.17
Economia - Total de importações,Panamá,2021,20280667735.52
Economia - Total de importações,Paraguai,1990,1734800000
Economia - Total de importações,Paraguai,1995,4417737429
Economia - Total de importações,Paraguai,2000,2739500000
Economia - Total de importações,Paraguai,2001,2348800000
Economia - Total de importações,Paraguai,2002,1974575000
Economia - Total de importações,Paraguai,2003,2318550000
Economia - Total de importações,Paraguai,2004,3016850000
Economia - Total de importações,Paraguai,2005,3682066000
Economia - Total de importações,Paraguai,2006,4852650000
Economia - Total de importações,Paraguai,2007,5937460000
Economia - Total de importações,Paraguai,2008,8675278035
Economia - Total de importações,Paraguai,2009,6625109251
Economia - Total de importações,Paraguai,2010,9582870162
Economia - Total de importações,Paraguai,2011,11722741996
Economia - Total de importações,Paraguai,2012,11014060723
Economia - Total de importações,Paraguai,2013,11860834552
Economia - Total de importações,Paraguai,2014,11946114678
Economia - Total de importações,Paraguai,2015,10165220164
Economia - Total de importações,Paraguai,2016,9625876258.06
Economia - Total de importações,Paraguai,2017,11298592596.33
Economia - Total de importações,Paraguai,2018,12608588660
Economia - Total de importações,Paraguai,2019,11912837899
Economia - Total de importações,Paraguai,2020,9729158134.84
Economia - Total de importações,Paraguai,2021,12594289269.55
Economia - Total de importações,Paraguai,2022,14725283209.07
Economia - Total de importações,Peru,1990,2889000000
Economia - Total de importações,Peru,1995,7422812071.37
Economia - Total de importações,Peru,2000,7046877429.09
Economia - Total de importações,Peru,2001,6893554114.58
Economia - Total de importações,Peru,2002,7116971795.60
Economia - Total de importações,Peru,2003,8010809633.93
Economia - Total de importações,Peru,2004,9582510665.99
Economia - Total de importações,Peru,2005,11782184510.24
Economia - Total de importações,Peru,2006,14468113512.13
Economia - Total de importações,Peru,2007,19257946575.53
Economia - Total de importações,Peru,2008,28078161331.89
Economia - Total de importações,Peru,2009,20808084070.59
Economia - Total de importações,Peru,2010,28391271227.79
Economia - Total de importações,Peru,2011,36448776804.79
Economia - Total de importações,Peru,2012,41013575952.47
Economia - Total de importações,Peru,2013,42351823524.21
Economia - Total de importações,Peru,2014,41037789369.52
Economia - Total de importações,Peru,2015,37326428938.10
Economia - Total de importações,Peru,2016,35124038086.64
Economia - Total de importações,Peru,2017,38717715189.13
Economia - Total de importações,Peru,2018,41865579926.42
Economia - Total de importações,Peru,2019,41101171583.55
Economia - Total de importações,Peru,2020,34723999957.47
Economia - Total de importações,Peru,2021,47990302615.40
Economia - Total de importações,Peru,2022,55902101239.60
Economia - Total de importações,Uruguai,1990,1266900000
Economia - Total de importações,Uruguai,1995,2710600000
Economia - Total de importações,Uruguai,2000,3311107520
Economia - Total de importações,Uruguai,2001,2914816963.25
Economia - Total de importações,Uruguai,2002,1873809468.83
Economia - Total de importações,Uruguai,2003,2097762570.42
Economia - Total de importações,Uruguai,2004,2992224251
Economia - Total de importações,Uruguai,2005,3753258700.36
Economia - Total de importações,Uruguai,2006,4898461244.75
Economia - Total de importações,Uruguai,2007,5645390773.50
Economia - Total de importações,Uruguai,2008,8809677483.43
Economia - Total de importações,Uruguai,2009,6895687745.02
Economia - Total de importações,Uruguai,2010,8557692819.00
Economia - Total de importações,Uruguai,2011,10704280844.11
Economia - Total de importações,Uruguai,2012,12785975588.01
Economia - Total de importações,Uruguai,2013,12389355177.47
Economia - Total de importações,Uruguai,2014,12039964962.15
Economia - Total de importações,Uruguai,2015,10101325717.66
Economia - Total de importações,Uruguai,2016,8562427319.73
Economia - Total de importações,Uruguai,2017,9165094618.46
Economia - Total de importações,Uruguai,2018,9393513319.82
Economia - Total de importações,Uruguai,2019,8752676955.58
Economia - Total de importações,Uruguai,2020,7903627989.20
Economia - Total de importações,Uruguai,2021,11211323528.25
Economia - Total de importações,Uruguai,2022,13614692165.58
Economia - Total de importações,Venezuela,1990,6862000000
Economia - Total de importações,Venezuela,1995,12007000000
Economia - Total de importações,Venezuela,2000,16837000000
Economia - Total de importações,Venezuela,2001,19203000000
Economia - Total de importações,Venezuela,2002,13352000000
Economia - Total de importações,Venezuela,2003,10475000000
Economia - Total de importações,Venezuela,2004,17013000000
Economia - Total de importações,Venezuela,2005,24002000000
Economia - Total de importações,Venezuela,2006,33547000000
Economia - Total de importações,Venezuela,2007,47368000000
Economia - Total de importações,Venezuela,2008,51169000000
Economia - Total de importações,Venezuela,2009,41584000000
Economia - Total de importações,Venezuela,2010,41702000000
Economia - Total de importações,Venezuela,2011,52543000000
Economia - Total de importações,Venezuela,2012,65917000000
Economia - Total de importações,Venezuela,2013,57151000000
Economia - Total de importações,Venezuela,2014,47223000000
Economia - Total de importações,Venezuela,2015,33276000000
Economia - Total de importações,Venezuela,2016,16338000000
