indicador,pais,ano,valor
Economia - Total do PIB,Argentina,1990,141352630146.73
Economia - Total do PIB,Argentina,1995,258031750000
Economia - Total do PIB,Argentina,2000,284203750000
Economia - Total do PIB,Argentina,2001,268696750000
Economia - Total do PIB,Argentina,2002,97724004251.86
Economia - Total do PIB,Argentina,2003,127586973492.18
Economia - Total do PIB,Argentina,2004,164657930452.79
Economia - Total do PIB,Argentina,2005,198737095012.28
Economia - Total do PIB,Argentina,2006,232557260817.31
Economia - Total do PIB,Argentina,2007,287530508430.57
Economia - Total do PIB,Argentina,2008,361558037110.42
Economia - Total do PIB,Argentina,2009,332976484577.62
Economia - Total do PIB,Argentina,2010,423627422092.49
Economia - Total do PIB,Argentina,2011,530158176673.79
Economia - Total do PIB,Argentina,2012,545982375701.13
Economia - Total do PIB,Argentina,2013,552025140252.25
Economia - Total do PIB,Argentina,2014,526319673731.64
Economia - Total do PIB,Argentina,2015,594749285413.21
Economia - Total do PIB,Argentina,2016,557532317363.45
Economia - Total do PIB,Argentina,2017,643628396190.39
Economia - Total do PIB,Argentina,2018,524819898586.91
Economia - Total do PIB,Argentina,2019,447754686715.08
Economia - Total do PIB,Argentina,2020,385540406815.60
Economia - Total do PIB,Argentina,2021,487227125385.64
Economia - Total do PIB,Argentina,2022,632770284408.51
Economia - Total do PIB,Bolívia,1990,4867582597.52
Economia - Total do PIB,Bolívia,1995,6715162198.52
Economia - Total do PIB,Bolívia,2000,8397855937.47
Economia - Total do PIB,Bolívia,2001,8141517339.15
Economia - Total do PIB,Bolívia,2002,7905485146.44
Economia - Total do PIB,Bolívia,2003,8082399991.30
Economia - Total do PIB,Bolívia,2004,8773451751.51
Economia - Total do PIB,Bolívia,2005,9549122313.40
Economia - Total do PIB,Bolívia,2006,11451845378.69
Economia - Total do PIB,Bolívia,2007,13120107738.89
Economia - Total do PIB,Bolívia,2008,16674276979.47
Economia - Total do PIB,Bolívia,2009,17339992193.73
Economia - Total do PIB,Bolívia,2010,19649724655.58
Economia - Total do PIB,Bolívia,2011,23963162969.38
Economia - Total do PIB,Bolívia,2012,27084497481.91
Economia - Total do PIB,Bolívia,2013,30659338885.67
Economia - Total do PIB,Bolívia,2014,32996188017.37
Economia - Total do PIB,Bolívia,2015,33000198248.91
Economia - Total do PIB,Bolívia,2016,33941126193.92
Economia - Total do PIB,Bolívia,2017,37508642170.77
Economia - Total do PIB,Bolívia,2018,40287647930.54
Economia - Total do PIB,Bolívia,2019,40895322850.94
Economia - Total do PIB,Bolívia,2020,36629843806.08
Economia - Total do PIB,Bolívia,2021,40408208523.88
Economia - Total do PIB,Bolívia,2022,43068885672.94
Economia - Total do PIB,Brasil,1990,464989098144.85
Economia - Total do PIB,Brasil,1995,769333330439.52
Economia - Total do PIB,Brasil,2000,655448188246.11
Economia - Total do PIB,Brasil,2001,559983704075.66
Economia - Total do PIB,Brasil,2002,509795270707.27
Economia - Total do PIB,Brasil,2003,558233724160.74
Economia - Total do PIB,Brasil,2004,669289321953.68
Economia - Total do PIB,Brasil,2005,891633826582.61
Economia - Total do PIB,Brasil,2006,1107626711436.44
Economia - Total do PIB,Brasil,2007,1397114247287.58
Economia - Total do PIB,Brasil,2008,1695855391816.48
Economia - Total do PIB,Brasil,2009,1666996294324.76
Economia - Total do PIB,Brasil,2010,2208838108593.19
Economia - Total do PIB,Brasil,2011,2616156606734.51
Economia - Total do PIB,Brasil,2012,2465228293862.62
Economia - Total do PIB,Brasil,2013,2472819362259
Economia - Total do PIB,Brasil,2014,2456043766063.5
Economia - Total do PIB,Brasil,2015,1802211999555.59
Economia - Total do PIB,Brasil,2016,1795693265824.27
Economia - Total do PIB,Brasil,2017,2063514688761.67
Economia - Total do PIB,Brasil,2018,1916933708404.16
Economia - Total do PIB,Brasil,2019,1873288159000.64
Economia - Total do PIB,Brasil,2020,1476107292036.59
Economia - Total do PIB,Brasil,2021,1649622972159.35
Economia - Total do PIB,Brasil,2022,1920095560995.06
Economia - Total do PIB,Chile,1990,33113525803.81
Economia - Total do PIB,Chile,1995,73446446283.02
Economia - Total do PIB,Chile,2000,78249883995.63
Economia - Total do PIB,Chile,2001,71517267767.74
Economia - Total do PIB,Chile,2002,70295232513.05
Economia - Total do PIB,Chile,2003,76507853875.66
Economia - Total do PIB,Chile,2004,99079365628.33
Economia - Total do PIB,Chile,2005,122314960843.92
Economia - Total do PIB,Chile,2006,153840051814.06
Economia - Total do PIB,Chile,2007,172565861848.90
Economia - Total do PIB,Chile,2008,179663390874.65
Economia - Total do PIB,Chile,2009,171412643623.96
Economia - Total do PIB,Chile,2010,217105434199.5
Economia - Total do PIB,Chile,2011,251224856981.29
