indicador,pais,ano,valor
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2000,0.779
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2001,0.784
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2002,0.785
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2003,0.793
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2004,0.798
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2005,0.802
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2006,0.814
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2007,0.817
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2008,0.825
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2009,0.827
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2010,0.834
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2011,0.841
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2012,0.843
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2013,0.845
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2014,0.846
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2015,0.848
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2016,0.847
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2017,0.851
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2018,0.85
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2019,0.852
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2020,0.84
Indicadores sociais - Índice de desenvolvimento humano,Argentina,2021,0.842
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2000,0.632
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2001,0.632
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2002,0.63
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2003,0.627
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2004,0.626
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2005,0.635
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2006,0.638
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2007,0.645
Indicadores sociais - Índice de desenvolvimento humano,Bolívia,2008,0.652
