indicador,pais,ano,valor
População - Homens,Argentina,1990,16063515
População - Homens,Argentina,1995,17220607
População - Homens,Argentina,2000,18280746
População - Homens,Argentina,2001,18484124
População - Homens,Argentina,2002,18683681
População - Homens,Argentina,2003,18879701
População - Homens,Argentina,2004,19077001
População - Homens,Argentina,2005,19279145
População - Homens,Argentina,2006,19484104
População - Homens,Argentina,2007,19685381
População - Homens,Argentina,2008,19886051
População - Homens,Argentina,2009,20095357
População - Homens,Argentina,2010,20154486
População - Homens,Argentina,2011,20395723
População - Homens,Argentina,2012,20634269
População - Homens,Argentina,2013,20870445
População - Homens,Argentina,2014,21106519
População - Homens,Argentina,2015,21340426
População - Homens,Argentina,2016,21571303
População - Homens,Argentina,2017,21800696
População - Homens,Argentina,2018,22027014
População - Homens,Argentina,2019,22249019
População - Homens,Argentina,2020,22465694
População - Homens,Argentina,2021,22678199
População - Homens,Argentina,2022,22889298
População - Homens,Bolívia,1990,3549041
População - Homens,Bolívia,1995,3940256
População - Homens,Bolívia,2000,4339846
População - Homens,Bolívia,2001,4418319
População - Homens,Bolívia,2002,4495206
População - Homens,Bolívia,2003,4573038
População - Homens,Bolívia,2004,4651928
População - Homens,Bolívia,2005,4731985
População - Homens,Bolívia,2006,4814077
População - Homens,Bolívia,2007,4897753
População - Homens,Bolívia,2008,4981806
População - Homens,Bolívia,2009,5066350
População - Homens,Bolívia,2010,5151373
População - Homens,Bolívia,2011,5236810
População - Homens,Bolívia,2012,5322361
População - Homens,Bolívia,2013,5407879
População - Homens,Bolívia,2014,5493370
População - Homens,Bolívia,2015,5578609
População - Homens,Bolívia,2016,5663718
População - Homens,Bolívia,2017,5748534
População - Homens,Bolívia,2018,5832721
População - Homens,Bolívia,2019,5916395
População - Homens,Bolívia,2020,5992275
População - Homens,Bolívia,2021,6058547
População - Homens,Bolívia,2022,6126364
População - Homens,Chile,1990,6636684
População - Homens,Chile,1995,7168506
População - Homens,Chile,2000,7627655
População - Homens,Chile,2001,7711571
População - Homens,Chile,2002,7794228
População - Homens,Chile,2003,7874834
População - Homens,Chile,2004,7952250
População - Homens,Chile,2005,8028913
População - Homens,Chile,2006,8107283
População - Homens,Chile,2007,8186994
População - Homens,Chile,2008,8268938
População - Homens,Chile,2009,8353799
População - Homens,Chile,2010,8437983
População - Homens,Chile,2011,8521805
População - Homens,Chile,2012,8605184
População - Homens,Chile,2013,8688160
População - Homens,Chile,2014,8775549
População - Homens,Chile,2015,8865948
População - Homens,Chile,2016,8971935
População - Homens,Chile,2017,9114379
População - Homens,Chile,2018,9281300
População - Homens,Chile,2019,9450404
População - Homens,Chile,2020,9579957
População - Homens,Chile,2021,9675022
População - Homens,Chile,2022,9729531
População - Homens,Colômbia,1990,16281573
População - Homens,Colômbia,1995,17906602
População - Homens,Colômbia,2000,19469885
População - Homens,Colômbia,2001,19769644
População - Homens,Colômbia,2002,20066543
População - Homens,Colômbia,2003,20357979
População - Homens,Colômbia,2004,20643488
População - Homens,Colômbia,2005,20920388
População - Homens,Colômbia,2006,21186610
População - Homens,Colômbia,2007,21442913
População - Homens,Colômbia,2008,21686623
População - Homens,Colômbia,2009,21925966
População - Homens,Colômbia,2010,22167933
População - Homens,Colômbia,2011,22405198
População - Homens,Colômbia,2012,22632420
População - Homens,Colômbia,2013,22850386
População - Homens,Colômbia,2014,23060580
População - Homens,Colômbia,2015,23272374
População - Homens,Colômbia,2016,23517966
População - Homens,Colômbia,2017,23874571
População - Homens,Colômbia,2018,24331054
População - Homens,Colômbia,2019,24779301
População - Homens,Colômbia,2020,25139588
População - Homens,Colômbia,2021,25415242
População - Homens,Colômbia,2022,25575607
População - Homens,Costa Rica,1990,1591754
População - Homens,Costa Rica,1995,1800079
População - Homens,Costa Rica,2000,2002605
População - Homens,Costa Rica,2001,2039504
População - Homens,Costa Rica,2002,2074083
População - Homens,Costa Rica,2003,2106901
População - Homens,Costa Rica,2004,2138782
População - Homens,Costa Rica,2005,2170068
População - Homens,Costa Rica,2006,2200829
População - Homens,Costa Rica,2007,2231315
População - Homens,Costa Rica,2008,2261818
População - Homens,Costa Rica,2009,2291917
População - Homens,Costa Rica,2010,2321021
População - Homens,Costa Rica,2011,2349468
População - Homens,Costa Rica,2012,2377400
População - Homens,Costa Rica,2013,2404428
População - Homens,Costa Rica,2014,2430257
População - Homens,Costa Rica,2015,2455070
População - Homens,Costa Rica,2016,2479289
População - Homens,Costa Rica,2017,2502859
População - Homens,Costa Rica,2018,2525472
População - Homens,Costa Rica,2019,2546376
População - Homens,Costa Rica,2020,2564622
População - Homens,Costa Rica,2021,2578741
População - Homens,Costa Rica,2022,2590709
População - Homens,Cuba,1990,5375743
População - Homens,Cuba,1995,5513090
População - Homens,Cuba,2000,5574842
População - Homens,Cuba,2001,5585454
População - Homens,Cuba,2002,5595307
População - Homens,Cuba,2003,5606222
População - Homens,Cuba,2004,5616987
População - Homens,Cuba,2005,5625118
População - Homens,Cuba,2006,5630144
População - Homens,Cuba,2007,5632650
População - Homens,Cuba,2008,5633996
População - Homens,Cuba,2009,5635364
População - Homens,Cuba,2010,5637179
População - Homens,Cuba,2011,5639643
População - Homens,Cuba,2012,5643060
População - Homens,Cuba,2013,5647146
População - Homens,Cuba,2014,5650315
População - Homens,Cuba,2015,5652022
População - Homens,Cuba,2016,5650455
População - Homens,Cuba,2017,5644544
População - Homens,Cuba,2018,5637159
População - Homens,Cuba,2019,5628282
População - Homens,Cuba,2020,5616818
População - Homens,Cuba,2021,5589258
População - Homens,Cuba,2022,5562694
População - Homens,República Dominicana,1990,3552383
População - Homens,República Dominicana,1995,3937354
População - Homens,República Dominicana,2000,4323440
População - Homens,República Dominicana,2001,4397423
População - Homens,República Dominicana,2002,4464921
População - Homens,República Dominicana,2003,4526492
População - Homens,República Dominicana,2004,4587454
População - Homens,República Dominicana,2005,4647506
População - Homens,República Dominicana,2006,4706176
População - Homens,República Dominicana,2007,4763782
População - Homens,República Dominicana,2008,4822328
População - Homens,República Dominicana,2009,4882666
População - Homens,República Dominicana,2010,4943959
População - Homens,República Dominicana,2011,5005175
População - Homens,República Dominicana,2012,5065869
População - Homens,República Dominicana,2013,5126060
População - Homens,República Dominicana,2014,5185752
População - Homens,República Dominicana,2015,5244874
População - Homens,República Dominicana,2016,5303141
População - Homens,República Dominicana,2017,5360426
População - Homens,República Dominicana,2018,5416994
População - Homens,República Dominicana,2019,5472410
População - Homens,República Dominicana,2020,5527482
População - Homens,República Dominicana,2021,5582224
População - Homens,República Dominicana,2022,5634261
População - Homens,Equador,1990,5239060
População - Homens,Equador,1995,5792883
População - Homens,Equador,2000,6323386
População - Homens,Equador,2001,6432559
População - Homens,Equador,2002,6544813
População - Homens,Equador,2003,6659818
População - Homens,Equador,2004,6776204
População - Homens,Equador,2005,6893501
População - Homens,Equador,2006,7012450
População - Homens,Equador,2007,7133070
População - Homens,Equador,2008,7254593
População - Homens,Equador,2009,7376503
População - Homens,Equador,2010,7498852
População - Homens,Equador,2011,7622056
População - Homens,Equador,2012,7744557
População - Homens,Equador,2013,7863795
População - Homens,Equador,2014,7981215
População - Homens,Equador,2015,8100227
População - Homens,Equador,2016,8222126
População - Homens,Equador,2017,8350700
População - Homens,Equador,2018,8509651
População - Homens,Equador,2019,8672767
População - Homens,Equador,2020,8790148
População - Homens,Equador,2021,8886835
População - Homens,Equador,2022,8984602
População - Homens,El Salvador,1990,2604746
População - Homens,El Salvador,1995,2780097
População - Homens,El Salvador,2000,2869807
População - Homens,El Salvador,2001,2881789
População - Homens,El Salvador,2002,2890463
População - Homens,El Salvador,2003,2895077
População - Homens,El Salvador,2004,2896010
População - Homens,El Salvador,2005,2893341
População - Homens,El Salvador,2006,2887716
População - Homens,El Salvador,2007,2890138
População - Homens,El Salvador,2008,2901244
População - Homens,El Salvador,2009,2911996
População - Homens,El Salvador,2010,2922675
População - Homens,El Salvador,2011,2933557
População - Homens,El Salvador,2012,2944707
População - Homens,El Salvador,2013,2955948
População - Homens,El Salvador,2014,2966755
População - Homens,El Salvador,2015,2976076
População - Homens,El Salvador,2016,2983896
População - Homens,El Salvador,2017,2989691
População - Homens,El Salvador,2018,2992279
População - Homens,El Salvador,2019,2992539
População - Homens,El Salvador,2020,2997430
População - Homens,El Salvador,2021,3006692
População - Homens,El Salvador,2022,3016535
População - Homens,Guatemala,1990,4519890
População - Homens,Guatemala,1995,5121080
População - Homens,Guatemala,2000,5760216
População - Homens,Guatemala,2001,5898649
População - Homens,Guatemala,2002,6034184
População - Homens,Guatemala,2003,6165563
População - Homens,Guatemala,2004,6296273
População - Homens,Guatemala,2005,6426631
População - Homens,Guatemala,2006,6556342
População - Homens,Guatemala,2007,6685344
População - Homens,Guatemala,2008,6813669
População - Homens,Guatemala,2009,6941334
População - Homens,Guatemala,2010,7068420
População - Homens,Guatemala,2011,7196825
População - Homens,Guatemala,2012,7324702
População - Homens,Guatemala,2013,7453516
População - Homens,Guatemala,2014,7582657
População - Homens,Guatemala,2015,7711363
População - Homens,Guatemala,2016,7839799
População - Homens,Guatemala,2017,7968085
População - Homens,Guatemala,2018,8096410
População - Homens,Guatemala,2019,8223795
População - Homens,Guatemala,2020,8348500
População - Homens,Guatemala,2021,8470073
População - Homens,Guatemala,2022,8590378
População - Homens,Honduras,1990,2552537
População - Homens,Honduras,1995,2935993
População - Homens,Honduras,2000,3364459
População - Homens,Honduras,2001,3456257
População - Homens,Honduras,2002,3548604
População - Homens,Honduras,2003,3641043
População - Homens,Honduras,2004,3733128
População - Homens,Honduras,2005,3825041
População - Homens,Honduras,2006,3916738
População - Homens,Honduras,2007,4007762
População - Homens,Honduras,2008,4097779
População - Homens,Honduras,2009,4186810
População - Homens,Honduras,2010,4274733
População - Homens,Honduras,2011,4361400
População - Homens,Honduras,2012,4446997
População - Homens,Honduras,2013,4531602
População - Homens,Honduras,2014,4615611
População - Homens,Honduras,2015,4699291
População - Homens,Honduras,2016,4782635
População - Homens,Honduras,2017,4865783
População - Homens,Honduras,2018,4948831
População - Homens,Honduras,2019,5031794
População - Homens,Honduras,2020,5112980
População - Homens,Honduras,2021,5190703
População - Homens,Honduras,2022,5267354
População - Homens,México,1990,40210868
População - Homens,México,1995,44138340
População - Homens,México,2000,47900060
População - Homens,México,2001,48635540
População - Homens,México,2002,49386357
População - Homens,México,2003,50132595
População - Homens,México,2004,50881240
População - Homens,México,2005,51619299
População - Homens,México,2006,52329698
População - Homens,México,2007,53024314
População - Homens,México,2008,53699298
População - Homens,México,2009,54363696
População - Homens,México,2010,55086407
