indicador,pais,ano,valor
População - Mulheres,Argentina,1990,16574141
População - Mulheres,Argentina,1995,17725502
População - Mulheres,Argentina,2000,18790028
População - Mulheres,Argentina,2001,18996369
População - Mulheres,Argentina,2002,19201347
População - Mulheres,Argentina,2003,19398462
População - Mulheres,Argentina,2004,19591796
População - Mulheres,Argentina,2005,19791355
População - Mulheres,Argentina,2006,19992747
População - Mulheres,Argentina,2007,20190731
População - Mulheres,Argentina,2008,20387718
População - Mulheres,Argentina,2009,20588982
População - Mulheres,Argentina,2010,20633966
População - Mulheres,Argentina,2011,20865767
População - Mulheres,Argentina,2012,21099001
População - Mulheres,Argentina,2013,21332490
População - Mulheres,Argentina,2014,21562981
População - Mulheres,Argentina,2015,21791541
População - Mulheres,Argentina,2016,22019065
População - Mulheres,Argentina,2017,22244116
População - Mulheres,Argentina,2018,22467488
População - Mulheres,Argentina,2019,22689693
População - Mulheres,Argentina,2020,22911069
População - Mulheres,Argentina,2021,23130548
População - Mulheres,Argentina,2022,23345532
População - Mulheres,Bolívia,1990,3547153
População - Mulheres,Bolívia,1995,3901215
População - Mulheres,Bolívia,2000,4252810
População - Mulheres,Bolívia,2001,4327765
População - Mulheres,Bolívia,2002,4405377
População - Mulheres,Bolívia,2003,4484341
População - Mulheres,Bolívia,2004,4564350
População - Mulheres,Bolívia,2005,4645403
População - Mulheres,Bolívia,2006,4728586
População - Mulheres,Bolívia,2007,4813399
População - Mulheres,Bolívia,2008,4898788
População - Mulheres,Bolívia,2009,4984968
População - Mulheres,Bolívia,2010,5071897
População - Mulheres,Bolívia,2011,5159435
População - Mulheres,Bolívia,2012,5247336
População - Mulheres,Bolívia,2013,5335470
População - Mulheres,Bolívia,2014,5423617
População - Mulheres,Bolívia,2015,5511477
População - Mulheres,Bolívia,2016,5599297
População - Mulheres,Bolívia,2017,5686999
População - Mulheres,Bolívia,2018,5774185
População - Mulheres,Bolívia,2019,5860919
População - Mulheres,Bolívia,2020,5943886
População - Mulheres,Bolívia,2021,6020925
População - Mulheres,Bolívia,2022,6097747
População - Mulheres,Chile,1990,6706184
População - Mulheres,Chile,1995,7248291
População - Mulheres,Chile,2000,7724143
População - Mulheres,Chile,2001,7812408
População - Mulheres,Chile,2002,7899562
População - Mulheres,Chile,2003,7984277
População - Mulheres,Chile,2004,8065716
População - Mulheres,Chile,2005,8146398
População - Mulheres,Chile,2006,8227292
População - Mulheres,Chile,2007,8308544
População - Mulheres,Chile,2008,8392523
