indicador,pais,ano,valor
Economia - Chegada de turistas,Argentina,1995,2289000
Economia - Chegada de turistas,Argentina,2000,2909000
Economia - Chegada de turistas,Argentina,2001,2620000
Economia - Chegada de turistas,Argentina,2002,2820000
Economia - Chegada de turistas,Argentina,2003,2995000
Economia - Chegada de turistas,Argentina,2004,3457000
Economia - Chegada de turistas,Argentina,2005,3823000
Economia - Chegada de turistas,Argentina,2006,4173000
Economia - Chegada de turistas,Argentina,2007,4562000
Economia - Chegada de turistas,Argentina,2008,4700000
Economia - Chegada de turistas,Argentina,2009,4308000
Economia - Chegada de turistas,Argentina,2010,6800000
Economia - Chegada de turistas,Argentina,2011,6703000
Economia - Chegada de turistas,Argentina,2012,6497000
Economia - Chegada de turistas,Argentina,2013,6510000
Economia - Chegada de turistas,Argentina,2014,7165000
Economia - Chegada de turistas,Argentina,2015,6816000
Economia - Chegada de turistas,Argentina,2016,6668000
Economia - Chegada de turistas,Argentina,2017,6711000
Economia - Chegada de turistas,Argentina,2018,6942000
Economia - Chegada de turistas,Argentina,2019,7399000
Economia - Chegada de turistas,Bolívia,1995,284000
Economia - Chegada de turistas,Bolívia,2000,319000
Economia - Chegada de turistas,Bolívia,2001,316000
Economia - Chegada de turistas,Bolívia,2002,334000
Economia - Chegada de turistas,Bolívia,2003,427000
Economia - Chegada de turistas,Bolívia,2004,480000
Economia - Chegada de turistas,Bolívia,2005,524000
Economia - Chegada de turistas,Bolívia,2006,521000
Economia - Chegada de turistas,Bolívia,2007,573000
Economia - Chegada de turistas,Bolívia,2008,594000
Economia - Chegada de turistas,Bolívia,2009,599000
Economia - Chegada de turistas,Bolívia,2010,679000
Economia - Chegada de turistas,Bolívia,2011,711000
Economia - Chegada de turistas,Bolívia,2012,798000
Economia - Chegada de turistas,Bolívia,2013,798000
Economia - Chegada de turistas,Bolívia,2014,871000
Economia - Chegada de turistas,Bolívia,2015,882000
Economia - Chegada de turistas,Bolívia,2016,961000
Economia - Chegada de turistas,Bolívia,2017,1109000
Economia - Chegada de turistas,Bolívia,2018,1142000
Economia - Chegada de turistas,Bolívia,2019,1239000
Economia - Chegada de turistas,Bolívia,2020,323299.99
Economia - Chegada de turistas,Brasil,1995,1991000
Economia - Chegada de turistas,Brasil,2000,5313000
Economia - Chegada de turistas,Brasil,2001,4773000
Economia - Chegada de turistas,Brasil,2002,3785000
Economia - Chegada de turistas,Brasil,2003,4133000
Economia - Chegada de turistas,Brasil,2004,4794000
Economia - Chegada de turistas,Brasil,2005,5358000
Economia - Chegada de turistas,Brasil,2006,5017000
Economia - Chegada de turistas,Brasil,2007,5026000
Economia - Chegada de turistas,Brasil,2008,5050000
Economia - Chegada de turistas,Brasil,2009,4802000
Economia - Chegada de turistas,Brasil,2010,5161000
Economia - Chegada de turistas,Brasil,2011,5433000
Economia - Chegada de turistas,Brasil,2012,5677000
Economia - Chegada de turistas,Brasil,2013,5813000
Economia - Chegada de turistas,Brasil,2014,6430000
Economia - Chegada de turistas,Brasil,2015,6306000
Economia - Chegada de turistas,Brasil,2016,6547000
Economia - Chegada de turistas,Brasil,2017,6589000
Economia - Chegada de turistas,Brasil,2018,6621000
Economia - Chegada de turistas,Brasil,2019,6353000
Economia - Chegada de turistas,Colômbia,1995,1433000
Economia - Chegada de turistas,Colômbia,2000,707000
Economia - Chegada de turistas,Colômbia,2001,788000
Economia - Chegada de turistas,Colômbia,2002,661000
Economia - Chegada de turistas,Colômbia,2003,668000
Economia - Chegada de turistas,Colômbia,2004,840000
Economia - Chegada de turistas,Colômbia,2005,981000
Economia - Chegada de turistas,Colômbia,2006,2096000
Economia - Chegada de turistas,Colômbia,2007,2381000
Economia - Chegada de turistas,Colômbia,2008,2545000
Economia - Chegada de turistas,Colômbia,2009,2649000
Economia - Chegada de turistas,Colômbia,2010,1701000
Economia - Chegada de turistas,Colômbia,2011,2356000
Economia - Chegada de turistas,Colômbia,2012,2434000
Economia - Chegada de turistas,Colômbia,2013,2595000
Economia - Chegada de turistas,Colômbia,2014,2866000
Economia - Chegada de turistas,Colômbia,2015,3371000
Economia - Chegada de turistas,Colômbia,2016,3675000
Economia - Chegada de turistas,Colômbia,2017,4056000
Economia - Chegada de turistas,Colômbia,2018,4397000
Economia - Chegada de turistas,Colômbia,2019,4531000
Economia - Chegada de turistas,Colômbia,2020,1396000
Economia - Chegada de turistas,Costa Rica,1995,924000
Economia - Chegada de turistas,Costa Rica,2000,1278000
Economia - Chegada de turistas,Costa Rica,2001,1320000
Economia - Chegada de turistas,Costa Rica,2002,1335000
Economia - Chegada de turistas,Costa Rica,2003,1514000
Economia - Chegada de turistas,Costa Rica,2004,1771000
Economia - Chegada de turistas,Costa Rica,2005,1959000
Economia - Chegada de turistas,Costa Rica,2006,2071000
Economia - Chegada de turistas,Costa Rica,2007,2302000
Economia - Chegada de turistas,Costa Rica,2008,2409000
Economia - Chegada de turistas,Costa Rica,2009,2309000
Economia - Chegada de turistas,Costa Rica,2010,2495000
Economia - Chegada de turistas,Costa Rica,2011,2526000
Economia - Chegada de turistas,Costa Rica,2012,2542000
Economia - Chegada de turistas,Costa Rica,2013,2641000
Economia - Chegada de turistas,Costa Rica,2014,2760000
Economia - Chegada de turistas,Costa Rica,2015,2899000
Economia - Chegada de turistas,Costa Rica,2016,3204000
Economia - Chegada de turistas,Costa Rica,2017,3231000
Economia - Chegada de turistas,Costa Rica,2018,3313000
Economia - Chegada de turistas,Costa Rica,2019,3366000
Economia - Chegada de turistas,Costa Rica,2020,1146500
Economia - Chegada de turistas,Cuba,1995,745000
Economia - Chegada de turistas,Cuba,2000,1774000
Economia - Chegada de turistas,Cuba,2001,1775000
Economia - Chegada de turistas,Cuba,2002,1686000
Economia - Chegada de turistas,Cuba,2003,1906000
Economia - Chegada de turistas,Cuba,2004,2049000
Economia - Chegada de turistas,Cuba,2005,2319000
Economia - Chegada de turistas,Cuba,2006,2221000
Economia - Chegada de turistas,Cuba,2007,2152000
Economia - Chegada de turistas,Cuba,2008,2348000
Economia - Chegada de turistas,Cuba,2009,2430000
Economia - Chegada de turistas,Cuba,2010,2532000
Economia - Chegada de turistas,Cuba,2011,2716000
Economia - Chegada de turistas,Cuba,2012,2847000
Economia - Chegada de turistas,Cuba,2013,2862000
Economia - Chegada de turistas,Cuba,2014,3014000
Economia - Chegada de turistas,Cuba,2015,3540000
Economia - Chegada de turistas,Cuba,2016,4009000
Economia - Chegada de turistas,Cuba,2017,4654000
Economia - Chegada de turistas,Cuba,2018,4712000
Economia - Chegada de turistas,Cuba,2019,4276000
Economia - Chegada de turistas,Cuba,2020,1086000
Economia - Chegada de turistas,República Dominicana,1995,1806000
Economia - Chegada de turistas,República Dominicana,2000,3161000
Economia - Chegada de turistas,República Dominicana,2001,3090000
Economia - Chegada de turistas,República Dominicana,2002,3058000
Economia - Chegada de turistas,República Dominicana,2003,3680000
Economia - Chegada de turistas,República Dominicana,2004,3907000
Economia - Chegada de turistas,República Dominicana,2005,3981000
Economia - Chegada de turistas,República Dominicana,2006,4268000
Economia - Chegada de turistas,República Dominicana,2007,4365000
Economia - Chegada de turistas,República Dominicana,2008,4455000
Economia - Chegada de turistas,República Dominicana,2009,4489000
Economia - Chegada de turistas,República Dominicana,2010,4478000
Economia - Chegada de turistas,República Dominicana,2011,4654000
Economia - Chegada de turistas,República Dominicana,2012,4901000
Economia - Chegada de turistas,República Dominicana,2013,5114000
Economia - Chegada de turistas,República Dominicana,2014,5576000
Economia - Chegada de turistas,República Dominicana,2015,6129000
Economia - Chegada de turistas,República Dominicana,2016,6769000
Economia - Chegada de turistas,República Dominicana,2017,7296000
Economia - Chegada de turistas,República Dominicana,2018,7551000
Economia - Chegada de turistas,República Dominicana,2019,7550000
Economia - Chegada de turistas,República Dominicana,2020,2748000
